Entry ID,Contest Name,Contest ID,Entry Fee,CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
2556787883,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,James Harden (16430564),Alex Caruso (16430547),Kevin Durant (16430534),LeBron James (16430532),Markieff Morris (16430550),Landry Shamet (16430546),,1. Column A lists all of your contest entries for this draftgroup
2556787984,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
2556787999,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2556788014,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2556788123,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
2556788135,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,
2556794035,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2556794084,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,PG,James Harden (16430564),James Harden,16430564,CPT,17400,BKN@LAL 02/18/2021 10:00PM ET,BKN,55.28
2556794110,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,PG/SF,LeBron James (16430565),LeBron James,16430565,CPT,16800,BKN@LAL 02/18/2021 10:00PM ET,LAL,51.25
2556794171,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,PF/C,Anthony Davis (16430566),Anthony Davis,16430566,CPT,15900,BKN@LAL 02/18/2021 10:00PM ET,LAL,43.75
2556794481,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,PF/C,Kevin Durant (16430567),Kevin Durant,16430567,CPT,15600,BKN@LAL 02/18/2021 10:00PM ET,BKN,50.28
2556803493,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,PG/SG,Kyrie Irving (16430568),Kyrie Irving,16430568,CPT,14700,BKN@LAL 02/18/2021 10:00PM ET,BKN,46.55
2556803561,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,PG,James Harden (16430531),James Harden,16430531,UTIL,11600,BKN@LAL 02/18/2021 10:00PM ET,BKN,55.28
2556803606,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,SF/PF,Kyle Kuzma (16430569),Kyle Kuzma,16430569,CPT,11400,BKN@LAL 02/18/2021 10:00PM ET,LAL,22.47
2556803624,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,PG/SF,LeBron James (16430532),LeBron James,16430532,UTIL,11200,BKN@LAL 02/18/2021 10:00PM ET,LAL,51.25
2556812136,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,SG/SF,Joe Harris (16430570),Joe Harris,16430570,CPT,10800,BKN@LAL 02/18/2021 10:00PM ET,BKN,24.79
2556812154,NBA Showdown $12.5K And-One (BKN vs LAL),103590221,$1,,,,,,,,PF/C,Anthony Davis (16430533),Anthony Davis,16430533,UTIL,10600,BKN@LAL 02/18/2021 10:00PM ET,LAL,43.75
