Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Russell Westbrook (20163464),Russell Westbrook,20163464,CPT,21300,CHI@LAL 11/15/2021 10:30PM ET,LAL,45.20
SF/PF,LeBron James (20163465),LeBron James,20163465,CPT,21000,CHI@LAL 11/15/2021 10:30PM ET,LAL,48.38
PF/C,Anthony Davis (20163466),Anthony Davis,20163466,CPT,20400,CHI@LAL 11/15/2021 10:30PM ET,LAL,50.04
C,Nikola Vucevic (20163467),Nikola Vucevic,20163467,CPT,17400,CHI@LAL 11/15/2021 10:30PM ET,CHI,38.64
PF,DeMar DeRozan (20163468),DeMar DeRozan,20163468,CPT,16800,CHI@LAL 11/15/2021 10:30PM ET,CHI,41.17
SG,Zach LaVine (20163469),Zach LaVine,20163469,CPT,16200,CHI@LAL 11/15/2021 10:30PM ET,CHI,40
PG,Russell Westbrook (20163510),Russell Westbrook,20163510,UTIL,14200,CHI@LAL 11/15/2021 10:30PM ET,LAL,45.20
SF/PF,LeBron James (20163511),LeBron James,20163511,UTIL,14000,CHI@LAL 11/15/2021 10:30PM ET,LAL,48.38
PF/C,Anthony Davis (20163512),Anthony Davis,20163512,UTIL,13600,CHI@LAL 11/15/2021 10:30PM ET,LAL,50.04
PG,Lonzo Ball (20163470),Lonzo Ball,20163470,CPT,13200,CHI@LAL 11/15/2021 10:30PM ET,CHI,30.85
PG/SG,Coby White (20163471),Coby White,20163471,CPT,12600,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
C,Nikola Vucevic (20163513),Nikola Vucevic,20163513,UTIL,11600,CHI@LAL 11/15/2021 10:30PM ET,CHI,38.64
PF,DeMar DeRozan (20163514),DeMar DeRozan,20163514,UTIL,11200,CHI@LAL 11/15/2021 10:30PM ET,CHI,41.17
PF,Carmelo Anthony (20163472),Carmelo Anthony,20163472,CPT,11100,CHI@LAL 11/15/2021 10:30PM ET,LAL,26.79
SG,Zach LaVine (20163515),Zach LaVine,20163515,UTIL,10800,CHI@LAL 11/15/2021 10:30PM ET,CHI,40
PG,Lonzo Ball (20163516),Lonzo Ball,20163516,UTIL,8800,CHI@LAL 11/15/2021 10:30PM ET,CHI,30.85
PG/SG,Coby White (20163517),Coby White,20163517,UTIL,8400,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
SG,Malik Monk (20163473),Malik Monk,20163473,CPT,7500,CHI@LAL 11/15/2021 10:30PM ET,LAL,16.68
PF,Carmelo Anthony (20163518),Carmelo Anthony,20163518,UTIL,7400,CHI@LAL 11/15/2021 10:30PM ET,LAL,26.79
PG/SG,Alex Caruso (20163474),Alex Caruso,20163474,CPT,7200,CHI@LAL 11/15/2021 10:30PM ET,CHI,23.12
PG,Kendrick Nunn (20163475),Kendrick Nunn,20163475,CPT,6900,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
PG,Rajon Rondo (20163476),Rajon Rondo,20163476,CPT,5700,CHI@LAL 11/15/2021 10:30PM ET,LAL,16.11
C,Tony Bradley (20163477),Tony Bradley,20163477,CPT,5400,CHI@LAL 11/15/2021 10:30PM ET,CHI,9.98
C,Dwight Howard (20163478),Dwight Howard,20163478,CPT,5100,CHI@LAL 11/15/2021 10:30PM ET,LAL,14.10
SG,Malik Monk (20163519),Malik Monk,20163519,UTIL,5000,CHI@LAL 11/15/2021 10:30PM ET,LAL,16.68
PG/SG,Alex Caruso (20163520),Alex Caruso,20163520,UTIL,4800,CHI@LAL 11/15/2021 10:30PM ET,CHI,23.12
PF/C,Alize Johnson (20163479),Alize Johnson,20163479,CPT,4800,CHI@LAL 11/15/2021 10:30PM ET,CHI,8.69
PG,Kendrick Nunn (20163521),Kendrick Nunn,20163521,UTIL,4600,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
